sigungu,뚜레쥬르,파바,sum,pop,sido,hp_bin,sig_cd
전라남도 진도군,1,1,2,30721.5,전라남도,0~4개,46900
전라남도 함평군,1,1,2,32098.0,전라남도,0~4개,46860
전라남도 해남군,1,2,3,68999.5,전라남도,0~4개,46820
전라남도 화순군,1,2,3,62181.5,전라남도,0~4개,46790
전라북도 고창군,1,3,4,54578.5,전라북도,0~4개,45790
전라북도 김제시,1,4,5,82405.0,전라북도,4.5~8개,45210
전라북도 남원시,1,4,5,80653.5,전라북도,4.5~8개,45190
전라북도 무주군,0,1,1,24068.5,전라북도,0~4개,45730
전라북도 부안군,1,1,2,52251.0,전라북도,0~4개,45800
전라북도 순창군,0,1,1,27930.0,전라북도,0~4개,45770
전라북도 임실군,0,1,1,27928.0,전라북도,0~4개,45750
전라북도 장수군,0,1,1,22158.5,전라북도,0~4개,45740
전라북도 정읍시,2,6,8,108474.0,전라북도,4.5~8개,45180
전라북도 진안군,1,1,2,25360.5,전라북도,0~4개,45720
충청남도 공주시,3,5,8,104677.0,충청남도,4.5~8개,44150
충청남도 금산군,1,3,4,51373.0,충청남도,0~4개,44710
충청남도 논산시,3,8,11,116625.5,충청남도,9~13개,44230
충청남도 보령시,3,8,11,99852.5,충청남도,9~13개,44180
충청남도 부여군,1,2,3,65431.0,충청남도,0~4개,44760
충청남도 서천군,1,3,4,51820.5,충청남도,0~4개,44770
충청남도 예산군,2,4,6,78071.5,충청남도,4.5~8개,44810
충청남도 청양군,1,1,2,31134.0,충청남도,0~4개,44790
충청남도 태안군,3,3,6,62050.5,충청남도,4.5~8개,44825
충청북도 괴산군,1,1,2,38968.0,충청북도,0~4개,43760
충청북도 단양군,1,2,3,29143.0,충청북도,0~4개,43800
충청북도 보은군,1,1,2,32402.5,충청북도,0~4개,43720
충청북도 영동군,1,2,3,47736.5,충청북도,0~4개,43740
충청북도 옥천군,2,2,4,50381.0,충청북도,0~4개,43730
충청북도 제천시,7,10,17,132882.5,충청북도,13.5~18개,43150
