"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"강원도",655301,664913,673978,685005,692254,700265,707245,719524,736301,746220
"춘천시",110596,111313,113095,115044,117014,118450,120190,123006,126685,130277
"원주시",130617,132207,134487,138380,142136,145521,149166,154583,160307,164895
"강릉시",91332,92412,93007,93774,94781,95963,96859,99086,101424,102879
"동해시",39002,40093,40208,40338,40468,40730,40784,41141,42306,42916
"태백시",22258,22204,22352,22293,22265,21889,21832,21798,21588,20731
"속초시",36745,36946,37032,37084,37193,37772,37993,38689,39932,40706
"삼척시",34066,35362,35204,34601,34147,33863,34227,34082,33635,33184
"홍천군",29894,30885,31183,31443,31851,32467,32760,33142,34187,34237
"횡성군",19461,19960,20348,20821,21283,21777,22411,22832,23276,23593
"영월군",18881,19111,19597,19990,20255,20715,21011,21044,21246,21143
"평창군",19783,20030,20279,20601,20745,21008,21172,21379,21618,21665
"정선군",19058,19330,19347,19519,19571,19554,19761,19974,20230,19713
"철원군",19975,19835,20337,22017,21778,21583,21451,21216,21182,20862
"화천군",11686,11734,13474,13668,13207,13065,12564,12603,12862,12556
"양구군",10051,10507,10778,11140,11355,11340,11058,10840,10828,10660
"인제군",14348,14474,14613,15594,15426,15523,15550,15583,15900,16380
"고성군",14663,15377,15408,15324,15377,15519,14763,14445,14546,15064
"양양군",12885,13133,13229,13374,13402,13526,13693,14081,14549,14759
"충청북도",633166,644062,656321,669503,680960,692140,707220,722123,745644,760672
"청주시",254271,259455,330551,336408,341596,346000,353320,360496,376252,387016
"상당구",91519,94768,70847,70468,70130,69624,72401,73870,81185,84548
"서원구",-,-,87902,87656,87531,88484,87678,87148,87404,89194
"흥덕구",162752,164687,100445,103300,105126,106959,109293,114477,120261,123699
"청원구",-,-,71357,74984,78809,80933,83948,85001,87402,89575
"충주시",83848,84902,86591,87463,88900,90246,93163,95648,98020,99651
"제천시",57975,58662,59233,59856,60946,61949,62367,63417,63945,64540
"청원군",63926,64846,-,-,-,-,-,-,-,-
"보은군",15577,15710,15864,16147,16304,16501,16600,16684,16981,17039
"옥천군",22407,22494,22608,22967,23092,23290,23681,24004,24437,25104
"영동군",22293,22554,23111,23586,23840,24132,24370,24509,24414,23813
"증평군",14173,14398,14727,15790,16238,16694,16854,17283,17697,17832
"진천군",26873,27750,28285,29750,30746,32898,35276,37213,39594,41323
"괴산군",18187,18716,19151,19620,19905,20577,20899,21256,22145,21851
"음성군",39536,40307,41749,43279,44649,45069,45571,46402,46831,47431
"단양군",14100,14268,14451,14637,14744,14784,15119,15211,15328,15072
"충청남도",842446,857699,871459,885968,902294,923499,943611,959255,983153,1001915
"천안시",232724,238677,243364,247695,254676,263434,273851,281333,291425,297987
"동남구",103844,105501,106767,107457,107475,108090,110982,113406,115586,116963
"서북구",128880,133176,136597,140238,147201,155344,162869,167927,175839,181024
"공주시",48825,49273,48794,48632,48835,49393,50134,50519,50966,51580
"보령시",45284,45455,45831,46739,47011,47407,47705,48324,49361,49419
"아산시",114439,117362,120475,122131,124223,129188,132159,135159,139580,145869
"서산시",65364,66956,68248,69993,70991,72469,75091,76748,79103,81407
"논산시",54995,55270,55451,56095,56347,56679,56729,57196,57826,58048
"계룡시",14017,13954,13894,14397,14858,15647,15860,15967,16531,17152
"당진시",66369,68490,70502,72074,73434,74586,75540,76162,77661,79526
"금산군",24607,24737,24913,25154,25342,25440,25588,25521,25897,25893
"연기군",-,-,-,-,-,-,-,-,-,-
"부여군",32164,32288,32362,32733,32903,32999,33193,33341,33562,33257
"서천군",26612,26663,26670,26622,26583,26544,26433,26410,26794,26646
"청양군",14375,14588,14859,15226,15668,16147,16274,16296,16378,16426
"홍성군",37536,38320,39530,41008,43555,44833,45358,45920,46588,46746
"예산군",36720,36924,37369,37488,37251,37489,38060,38290,38946,39051
"태안군",28415,28742,29197,29981,30617,31244,31636,32069,32535,32908
"당진군",-,-,-,-,-,-,-,-,-,-
"전라북도",760189,766699,774562,782986,790084,797916,806235,816191,836660,849001
"전주시",244811,247718,251702,254710,258006,260683,266541,273753,284106,293207
"완산구",136704,138200,140438,142810,143668,144937,142949,143731,149040,152056
"덕진구",108107,109518,111264,111900,114338,115746,123592,130022,135066,141151
"전주시효자출장소",-,-,-,-,-,-,-,-,0,-
"군산시",111278,112103,113098,114382,115329,115657,117068,118264,121220,122250
"익산시",120978,122164,122345,122857,123675,126333,126516,126876,128400,129962
"익산시함열출장소",-,-,-,-,-,-,-,-,0,-
"정읍시",51757,51841,51988,52203,52330,52722,53110,53582,54335,54242
"남원시",36781,36946,37046,37213,37529,37686,38054,38427,39457,39670
"김제시",41532,41523,41535,41438,41601,41712,41618,41850,42459,42509
"완주군",35824,36241,38090,40750,41204,41835,41881,41800,43275,44020
"진안군",12480,12553,12504,12571,12654,12927,13023,13131,13406,13494
"무주군",11428,11570,11761,11821,11893,12001,12204,12421,12674,12823
"장수군",10460,10572,10787,10909,11123,11144,11327,11308,11554,11584
"임실군",13916,13947,14157,14269,14332,14557,14790,14788,14801,14899
"순창군",13325,13576,13753,13784,13819,13872,13877,13816,14097,13996
"고창군",28166,28412,28435,28671,28900,29159,28802,28735,29057,28757
"부안군",27453,27533,27361,27408,27689,27628,27424,27440,27819,27588
"전라남도",808682,815769,823667,833901,842688,851376,860303,872628,893152,903108
"목포시",99652,99334,99955,100172,101180,100845,101609,102481,103316,103162
"여수시",112907,114364,116100,117602,118910,119684,120810,123677,126988,128169
"순천시",102713,104507,105841,107871,109650,111677,113942,116946,121488,124029
"나주시",40841,41094,42886,46444,49378,52303,54872,56090,58025,59292
"광양시",57026,57707,58698,59789,61487,62790,64186,65725,65668,67103
"담양군",21308,21516,21735,21953,22334,22710,23129,23521,24369,24773
"곡성군",14269,14705,14782,14994,14960,15090,15132,15289,15414,15536
"구례군",12067,12230,12424,12672,12883,13106,13151,13243,13414,13462
"고흥군",34807,34699,34657,34583,34508,34516,34536,34791,35290,35379
"보성군",22381,22296,22345,22384,22449,22428,22459,22276,22628,22511
"화순군",29452,29517,29430,29405,29575,29671,29928,30103,31090,32012
"장흥군",20228,20447,20603,20890,20161,20232,20139,20143,20431,20103
"강진군",18550,18756,18753,18577,18414,18358,18352,18351,18612,18592
"해남군",35488,35438,35344,35354,35231,35071,34745,34824,35259,35225
"영암군",27467,27191,27353,27242,27190,26885,26851,27362,27827,28197
"무안군",32248,33549,34562,35086,35500,36235,36410,36722,40114,42739
"함평군",17519,17604,17489,17547,17591,17790,17751,17837,17995,17980
"영광군",25778,26309,26040,26070,26054,26244,26378,26687,27138,27112
"장성군",20971,21191,21292,21529,21557,21885,22095,22850,23178,23160
"완도군",25215,25240,25321,25535,25688,25750,25835,25872,26241,26029
"진도군",15736,15803,15865,15932,15911,16060,16110,16102,16840,16700
"신안군",22059,22272,22192,22270,22077,22046,21883,21736,21827,21843
"경상북도",1125195,1139387,1153559,1169648,1180643,1193261,1207351,1227548,1254662,1276846
"포항시",202148,204857,207515,210690,212095,214012,216654,220328,225693,232201
"남구",99746,100431,101073,102172,102685,103117,103887,104824,106025,109419
"북구",102402,104426,106442,108518,109410,110895,112767,115504,119668,122782
"경주시",109675,111053,111848,112609,113798,114942,116805,118542,121505,123071
"김천시",55964,56681,57275,60757,62202,63360,63443,65273,67122,68393
"안동시",69617,70674,71881,73108,73714,73816,73863,74827,76915,77666
"구미시",163030,165018,166686,167635,168487,171387,173269,176015,179889,182645
"영주시",47908,48324,48093,48186,48678,48845,48982,49063,49718,50271
"영천시",45328,45605,46355,47110,47509,48564,50020,51439,52861,53904
"상주시",45174,45413,45845,46313,46750,47048,47527,48796,48856,48965
"문경시",33357,33674,34159,34625,34643,34555,34644,35587,36268,37069
"경산시",98130,100272,103935,106495,107821,109849,112513,115537,119680,124869
"군위군",11671,11896,12038,12189,12428,12670,12784,12938,13096,13258
"의성군",27407,27316,27352,27398,27440,27574,27822,28212,28750,28798
"청송군",12885,13023,13220,13332,13460,13562,13723,13862,14064,14029
"영양군",8725,8825,8817,8784,8800,8827,8913,8942,9127,9055
"영덕군",19919,20076,20006,20039,20185,20045,20123,20085,20153,19895
"청도군",20578,20830,21211,21493,21722,21912,22181,22473,22843,23251
"고령군",15983,16059,16163,16218,16215,16241,16204,16227,16497,16556
"성주군",20395,20686,20989,21444,21877,22389,22677,22915,23516,23621
"칠곡군",50792,52053,52555,53174,53695,52993,52599,52659,53026,53883
