"행정구역별","산업별",2021.1/2,2021.2/2,2022.1/2
"서울 서초구","전기·운수·통신·금융(D,H,J,K)",35.2,37.9,37.7
"서울 서초구","사업·개인·공공서비스 및 기타(E,L~U)",91.7,91.7,94.9
"서울 강남구","계",250.0,257.0,255.6
"서울 강남구","농업, 임업 및 어업 (A)",-,-,-
"서울 강남구","광·제조업(B,C)",18.2,18.7,20.9
"서울 강남구","건설업 (F) ",9.9,7.8,6.1
"서울 강남구","도소매·음식숙박업(G,I)",50.2,50.4,52.9
"서울 강남구","전기·운수·통신·금융(D,H,J,K)",43.9,47.2,45.5
"서울 강남구","사업·개인·공공서비스 및 기타(E,L~U)",127.9,132.9,130.3
"서울 송파구","계",321.4,324.8,332.0
"서울 송파구","농업, 임업 및 어업 (A)",1.0,0.3,0.5
"서울 송파구","광·제조업(B,C)",28.4,27.5,23.9
"서울 송파구","건설업 (F) ",16.7,14.9,16.8
"서울 송파구","도소매·음식숙박업(G,I)",73.3,73.4,75.9
"서울 송파구","전기·운수·통신·금융(D,H,J,K)",53.3,54.5,55.6
"서울 송파구","사업·개인·공공서비스 및 기타(E,L~U)",148.8,154.3,159.2
"서울 강동구","계",234.3,234.5,235.8
"서울 강동구","농업, 임업 및 어업 (A)",0.6,0.3,0.3
"서울 강동구","광·제조업(B,C)",22.7,18.8,19.9
"서울 강동구","건설업 (F) ",19.6,18.8,19.6
"서울 강동구","도소매·음식숙박업(G,I)",58.3,52.9,51.0
"서울 강동구","전기·운수·통신·금융(D,H,J,K)",36.1,37.8,37.9
"서울 강동구","사업·개인·공공서비스 및 기타(E,L~U)",96.9,106.0,107.1
"부산 중구","계",19.2,20.8,21.3
"부산 중구","농업, 임업 및 어업 (A)",0.1,0.1,0.1
"부산 중구","광·제조업(B,C)",2.0,2.1,2.1
"부산 중구","건설업 (F) ",0.8,0.8,0.8
"부산 중구","도소매·음식숙박업(G,I)",6.2,6.3,6.2
"부산 중구","전기·운수·통신·금융(D,H,J,K)",2.6,2.7,3.8
"부산 중구","사업·개인·공공서비스 및 기타(E,L~U)",7.5,8.7,8.4
"부산 서구","계",46.8,48.9,47.8
"부산 서구","농업, 임업 및 어업 (A)",0.3,0.8,0.6
"부산 서구","광·제조업(B,C)",5.3,5.2,4.7
"부산 서구","건설업 (F) ",3.4,3.4,3.3
"부산 서구","도소매·음식숙박업(G,I)",12.4,12.9,12.8
"부산 서구","전기·운수·통신·금융(D,H,J,K)",6.2,6.4,6.7
"부산 서구","사업·개인·공공서비스 및 기타(E,L~U)",19.2,20.2,19.7
"부산 동구","계",38.4,40.0,40.3
"부산 동구","농업, 임업 및 어업 (A)",-,0.1,0.1
"부산 동구","광·제조업(B,C)",3.8,3.8,4.2
"부산 동구","건설업 (F) ",3.3,3.4,2.6
"부산 동구","도소매·음식숙박업(G,I)",9.7,9.8,10.5
"부산 동구","전기·운수·통신·금융(D,H,J,K)",4.9,5.0,4.5
"부산 동구","사업·개인·공공서비스 및 기타(E,L~U)",16.6,17.9,18.3
"부산 영도구","계",46.6,49.1,49.8
"부산 영도구","농업, 임업 및 어업 (A)",0.7,0.5,0.7
"부산 영도구","광·제조업(B,C)",7.7,7.2,7.6
"부산 영도구","건설업 (F) ",3.6,4.3,3.8
"부산 영도구","도소매·음식숙박업(G,I)",11.8,12.2,12.4
"부산 영도구","전기·운수·통신·금융(D,H,J,K)",4.6,5.1,5.1
"부산 영도구","사업·개인·공공서비스 및 기타(E,L~U)",18.3,19.7,20.2
"부산 부산진구","계",166.6,171.6,167.9
"부산 부산진구","농업, 임업 및 어업 (A)",-,0.2,0.2
"부산 부산진구","광·제조업(B,C)",22.1,21.2,19.4
"부산 부산진구","건설업 (F) ",9.8,14.8,15.3
"부산 부산진구","도소매·음식숙박업(G,I)",44.3,43.7,43.3
"부산 부산진구","전기·운수·통신·금융(D,H,J,K)",17.4,20.5,21.1
"부산 부산진구","사업·개인·공공서비스 및 기타(E,L~U)",73.0,71.2,68.7
"부산 동래구","계",118.4,121.9,123.0
"부산 동래구","농업, 임업 및 어업 (A)",0.2,0.2,0.1
"부산 동래구","광·제조업(B,C)",13.1,12.9,13.8
"부산 동래구","건설업 (F) ",9.8,11.1,10.3
"부산 동래구","도소매·음식숙박업(G,I)",29.4,29.4,29.5
"부산 동래구","전기·운수·통신·금융(D,H,J,K)",16.7,16.1,15.9
"부산 동래구","사업·개인·공공서비스 및 기타(E,L~U)",49.3,52.2,53.4
"부산 남구","계",117.3,118.5,124.1
"부산 남구","농업, 임업 및 어업 (A)",0.2,0.4,0.3
"부산 남구","광·제조업(B,C)",12.5,11.0,13.9
"부산 남구","건설업 (F) ",6.0,6.2,6.3
"부산 남구","도소매·음식숙박업(G,I)",30.2,30.5,30.4
"부산 남구","전기·운수·통신·금융(D,H,J,K)",20.7,22.4,22.7
"부산 남구","사업·개인·공공서비스 및 기타(E,L~U)",47.7,48.0,50.4
"부산 북구","계",123.6,128.1,128.6
"부산 북구","농업, 임업 및 어업 (A)",0.6,0.5,0.5
"부산 북구","광·제조업(B,C)",27.8,26.2,25.7
"부산 북구","건설업 (F) ",8.6,10.1,12.4
"부산 북구","도소매·음식숙박업(G,I)",22.0,24.0,25.5
"부산 북구","전기·운수·통신·금융(D,H,J,K)",15.2,16.6,16.5
"부산 북구","사업·개인·공공서비스 및 기타(E,L~U)",49.5,50.7,47.9
"부산 해운대구","계",173.0,178.5,179.1
"부산 해운대구","농업, 임업 및 어업 (A)",0.7,0.8,0.7
"부산 해운대구","광·제조업(B,C)",16.8,17.3,16.8
"부산 해운대구","건설업 (F) ",14.0,15.8,17.4
"부산 해운대구","도소매·음식숙박업(G,I)",44.8,42.1,43.5
"부산 해운대구","전기·운수·통신·금융(D,H,J,K)",24.0,24.0,23.0
"부산 해운대구","사업·개인·공공서비스 및 기타(E,L~U)",72.8,78.5,77.7
"부산 사하구","계",144.4,147.9,149.2
"부산 사하구","농업, 임업 및 어업 (A)",0.9,1.5,1.7
"부산 사하구","광·제조업(B,C)",36.0,34.0,33.6
"부산 사하구","건설업 (F) ",10.5,10.7,12.4
"부산 사하구","도소매·음식숙박업(G,I)",28.1,29.4,28.0
"부산 사하구","전기·운수·통신·금융(D,H,J,K)",20.2,18.4,19.6
"부산 사하구","사업·개인·공공서비스 및 기타(E,L~U)",48.6,53.9,54.0
"부산 금정구","계",104.3,109.7,106.6
"부산 금정구","농업, 임업 및 어업 (A)",0.7,0.4,0.3
"부산 금정구","광·제조업(B,C)",16.5,15.6,13.2
"부산 금정구","건설업 (F) ",9.7,9.1,7.2
"부산 금정구","도소매·음식숙박업(G,I)",21.5,25.1,23.9
"부산 금정구","전기·운수·통신·금융(D,H,J,K)",12.3,11.0,10.9
"부산 금정구","사업·개인·공공서비스 및 기타(E,L~U)",43.6,48.5,51.1
"부산 강서구","계",69.5,71.9,73.5
"부산 강서구","농업, 임업 및 어업 (A)",3.7,3.1,3.7
"부산 강서구","광·제조업(B,C)",22.8,23.5,24.2
"부산 강서구","건설업 (F) ",3.3,3.4,2.9
"부산 강서구","도소매·음식숙박업(G,I)",12.6,12.7,13.4
"부산 강서구","전기·운수·통신·금융(D,H,J,K)",8.0,7.4,7.0
