"경기","제조업(10~34)",184016,1382830,542317042
"경기","전기, 가스, 증기 및 공기조절 공급업(35)",5307,14427,24884876
"경기","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",3455,33057,8139635
"경기","건설업(41~42)",111359,435271,85277375
"경기","도매 및 소매업(45~47)",374438,891493,338393812
"경기","운수 및 창고업(49~52)",149340,312842,51892659
"경기","숙박 및 음식점업(55~56)",180827,459082,36403106
"경기","정보통신업(58~63)",28719,158961,41100824
"경기","금융 및 보험업(64~66)",10396,102522,84202388
"경기","부동산업(68)",76086,172368,56533135
"경기","전문, 과학 및 기술 서비스업(70~73)",50467,324468,72946263
"경기","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",38974,274985,22738993
"경기","공공행정, 국방 및 사회보장 행정(84)",1871,137286,31257799
"경기","교육 서비스업(85)",59752,382033,26805964
"경기","보건업 및 사회복지 서비스업(86~87)",37112,486652,34144939
"경기","예술, 스포츠 및 여가관련 서비스업(90~91)",35417,104314,9131897
"경기","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",106285,204975,14659503
"강원","전체 산업",193074,704983,113947608
"강원","농업, 임업 및 어업(01~03)",994,5152,1001470
"강원","광업(05~08)",226,4309,990218
"강원","제조업(10~34)",10497,63725,16983255
"강원","전기, 가스, 증기 및 공기조절 공급업(35)",4618,8236,6650786
"강원","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",625,5692,1078693
"강원","건설업(41~42)",22400,80806,9746056
"강원","도매 및 소매업(45~47)",44280,91417,23474545
"강원","운수 및 창고업(49~52)",13812,30348,3512163
"강원","숙박 및 음식점업(55~56)",42471,95300,5970438
"강원","정보통신업(58~63)",1417,8456,1622046
"강원","금융 및 보험업(64~66)",1884,22668,14476922
"강원","부동산업(68)",5457,13750,3079502
"강원","전문, 과학 및 기술 서비스업(70~73)",4242,20804,2238659
"강원","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4267,26065,1956087
"강원","공공행정, 국방 및 사회보장 행정(84)",782,44030,9087359
"강원","교육 서비스업(85)",7213,54374,3863469
"강원","보건업 및 사회복지 서비스업(86~87)",4922,72625,4600535
"강원","예술, 스포츠 및 여가관련 서비스업(90~91)",5161,26612,1998453
"강원","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",17806,30614,1616952
"충북","전체 산업",191265,808018,208157612
"충북","농업, 임업 및 어업(01~03)",780,3904,1325471
"충북","광업(05~08)",122,1153,362326
"충북","제조업(10~34)",18488,224247,113488383
"충북","전기, 가스, 증기 및 공기조절 공급업(35)",5214,6715,3292598
"충북","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",685,6163,1609183
"충북","건설업(41~42)",19431,73206,10786795
"충북","도매 및 소매업(45~47)",44841,91519,26578502
"충북","운수 및 창고업(49~52)",18798,37895,5603697
"충북","숙박 및 음식점업(55~56)",31621,66517,4599686
"충북","정보통신업(58~63)",1284,6837,1508893
"충북","금융 및 보험업(64~66)",1568,15213,11778091
"충북","부동산업(68)",6304,15490,3161033
"충북","전문, 과학 및 기술 서비스업(70~73)",4202,25356,2900529
"충북","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4815,36300,3172701
"충북","공공행정, 국방 및 사회보장 행정(84)",551,33743,6533329
"충북","교육 서비스업(85)",6526,52734,4088086
"충북","보건업 및 사회복지 서비스업(86~87)",5041,68407,4595679
"충북","예술, 스포츠 및 여가관련 서비스업(90~91)",4741,13909,1162803
"충북","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",16253,28710,1609827
"충남","전체 산업",253192,1064810,339018273
"충남","농업, 임업 및 어업(01~03)",1517,7015,2521332
"충남","광업(05~08)",137,866,263891
"충남","제조업(10~34)",24423,314229,206481906
"충남","전기, 가스, 증기 및 공기조절 공급업(35)",9814,16797,12613154
"충남","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",859,7393,1696791
"충남","건설업(41~42)",24300,90189,13633467
"충남","도매 및 소매업(45~47)",60547,121588,37627158
"충남","운수 및 창고업(49~52)",22455,46272,8341818
"충남","숙박 및 음식점업(55~56)",41225,89482,6117240
"충남","정보통신업(58~63)",1741,7594,1777421
"충남","금융 및 보험업(64~66)",2037,18056,13200369
"충남","부동산업(68)",8806,18295,3742442
"충남","전문, 과학 및 기술 서비스업(70~73)",5359,28468,3324122
"충남","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",6087,46279,3355695
"충남","공공행정, 국방 및 사회보장 행정(84)",754,37605,8657918
"충남","교육 서비스업(85)",8623,69431,6232503
"충남","보건업 및 사회복지 서비스업(86~87)",6777,92466,6144405
"충남","예술, 스포츠 및 여가관련 서비스업(90~91)",5887,14409,1110016
"충남","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",21844,38376,2176625
"전북","전체 산업",225964,794929,157187934
"전북","농업, 임업 및 어업(01~03)",1488,6155,2633592
"전북","광업(05~08)",117,871,255751
"전북","제조업(10~34)",16219,120948,46643528
"전북","전기, 가스, 증기 및 공기조절 공급업(35)",18792,22139,5453698
"전북","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",614,5571,1352743
"전북","건설업(41~42)",21342,79778,12464146
"전북","도매 및 소매업(45~47)",54554,108168,29558430
"전북","운수 및 창고업(49~52)",20055,37760,4405760
"전북","숙박 및 음식점업(55~56)",31169,69217,4309308
"전북","정보통신업(58~63)",1484,8113,1447730
"전북","금융 및 보험업(64~66)",2160,24470,16131216
"전북","부동산업(68)",6985,15734,3072340
"전북","전문, 과학 및 기술 서비스업(70~73)",5074,26132,3321181
"전북","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4350,24451,1759758
"전북","공공행정, 국방 및 사회보장 행정(84)",896,38986,8928295
"전북","교육 서비스업(85)",8660,62026,6554474
"전북","보건업 및 사회복지 서비스업(86~87)",6655,95486,5986299
"전북","예술, 스포츠 및 여가관련 서비스업(90~91)",4699,13825,999566
"전북","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",20651,35099,1910119
"전남","전체 산업",228219,847692,231459174
"전남","농업, 임업 및 어업(01~03)",2337,10281,2862951
"전남","광업(05~08)",1010,2864,318508
"전남","제조업(10~34)",17079,125923,103164129
"전남","전기, 가스, 증기 및 공기조절 공급업(35)",11410,19607,13378115
"전남","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",793,7735,1527755
"전남","건설업(41~42)",23632,112334,17887484
"전남","도매 및 소매업(45~47)",55624,107990,29343365
"전남","운수 및 창고업(49~52)",23629,49900,8971100
"전남","숙박 및 음식점업(55~56)",36085,76107,4669694
"전남","정보통신업(58~63)",1468,8832,1862739
"전남","금융 및 보험업(64~66)",2023,20490,14989084
"전남","부동산업(68)",5154,13334,2647007
"전남","전문, 과학 및 기술 서비스업(70~73)",4214,21105,2386475
"전남","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4191,27832,2637494
"전남","공공행정, 국방 및 사회보장 행정(84)",1259,48623,11434267
"전남","교육 서비스업(85)",7233,55200,4038756
"전남","보건업 및 사회복지 서비스업(86~87)",6100,90452,5998147
"전남","예술, 스포츠 및 여가관련 서비스업(90~91)",4753,15256,1359840
"전남","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",20225,33827,1982264
"경북","전체 산업",321061,1225829,303571010
"경북","농업, 임업 및 어업(01~03)",1215,6749,1763137
"경북","광업(05~08)",201,1258,327620
"경북","제조업(10~34)",37730,320531,155695856
"경북","전기, 가스, 증기 및 공기조절 공급업(35)",8481,15694,11159285
"경북","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1230,10284,2798118
"경북","건설업(41~42)",30833,109357,15697452
"경북","도매 및 소매업(45~47)",74851,146481,40946166
"경북","운수 및 창고업(49~52)",31343,60823,9038720
"경북","숙박 및 음식점업(55~56)",54929,109050,6794274
"경북","정보통신업(58~63)",2003,9670,2053814
"경북","금융 및 보험업(64~66)",2764,24783,17381651
"경북","부동산업(68)",8290,19285,3089161
"경북","전문, 과학 및 기술 서비스업(70~73)",5924,34590,5370420
"경북","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",6024,35175,2864811
"경북","공공행정, 국방 및 사회보장 행정(84)",1274,57678,11902146
"경북","교육 서비스업(85)",11197,82201,6126837
"경북","보건업 및 사회복지 서비스업(86~87)",8146,116416,6786593
"경북","예술, 스포츠 및 여가관련 서비스업(90~91)",6796,18958,1493521
"경북","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",27830,46846,2281428
"경남","전체 산업",387177,1494560,325074193
"경남","농업, 임업 및 어업(01~03)",998,5680,1379818
"경남","광업(05~08)",117,703,179315
"경남","제조업(10~34)",49208,413775,145321933
"경남","전기, 가스, 증기 및 공기조절 공급업(35)",4524,8931,8857166
"경남","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1219,10531,2399195
"경남","건설업(41~42)",31268,114138,16220200
"경남","도매 및 소매업(45~47)",91671,184892,54181229
"경남","운수 및 창고업(49~52)",34418,71495,10196921
"경남","숙박 및 음식점업(55~56)",68183,139158,8348941
"경남","정보통신업(58~63)",2303,12261,2701546
