"행정구역별(시군)",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2
"구례군",16.2,1.3,3.7,16.4,1.2,3.6,15.9,1.1,3.5
"고흥군",42.2,1.6,9.8,43.1,1.5,9.8,44.1,1.8,9.3
"보성군",26.1,1.2,6.7,26.9,1.2,6.9,26.2,1.2,7.0
"화순군",37.6,2.8,11.7,38.9,3.0,12.1,38.5,2.7,12.1
"장흥군",23.5,1.0,6.4,23.1,1.2,6.1,22.8,1.4,5.8
"강진군",20.4,1.2,5.3,20.4,1.1,5.0,20.6,1.3,4.9
"해남군",43.5,3.0,12.4,44.3,2.9,12.3,44.7,2.9,12.3
"영암군",49.6,4.1,21.0,52.0,4.5,21.6,53.0,4.3,21.9
"무안군",46.6,4.3,17.7,45.7,3.6,16.9,46.4,4.1,16.9
"함평군",21.3,1.6,5.4,21.7,1.4,5.9,22.1,1.8,5.2
"영광군",33.8,2.8,10.5,33.4,2.7,9.6,32.2,2.7,9.1
"장성군",34.0,2.4,11.5,31.6,2.3,9.2,32.6,2.8,9.8
"완도군",28.5,2.3,8.4,28.0,2.1,8.8,27.7,2.1,8.4
"진도군",18.9,1.4,5.0,19.5,1.8,5.1,19.5,1.3,5.0
"신안군",26.2,1.1,6.6,25.8,1.1,6.4,25.5,1.2,6.0
"포항시",248.1,23.6,97.7,250.4,25.2,97.5,255.1,26.1,99.4
"경주시",159.3,14.4,65.1,159.6,13.7,64.4,161.1,13.6,63.5
"김천시",78.2,7.3,25.7,80.1,8.2,26.3,81.5,7.4,26.2
"안동시",85.6,6.7,27.7,86.2,7.3,28.0,83.0,6.7,26.6
"구미시",234.1,29.5,119.5,235.2,29.1,117.5,239.6,31.2,115.9
"영주시",52.1,3.5,16.5,53.8,3.9,17.3,53.7,3.9,17.2
"영천시",70.5,6.0,23.7,71.1,5.8,23.8,71.2,5.0,24.4
"상주시",57.7,3.7,15.1,58.1,4.2,14.4,58.4,4.3,14.7
"문경시",37.5,2.1,10.8,37.5,2.2,10.2,37.2,2.2,10.2
"경산시",145.0,18.9,57.1,149.2,19.9,57.8,150.4,19.3,58.0
"군위군",17.8,0.8,4.4,17.8,1.0,4.5,17.7,1.3,4.4
"의성군",35.0,1.3,7.4,35.5,1.2,7.2,35.4,1.6,7.2
"청송군",18.2,1.0,3.9,18.9,1.0,3.9,18.8,0.8,4.2
"영양군",10.7,0.5,2.4,10.6,0.4,2.6,10.7,0.4,2.6
"영덕군",20.7,0.9,5.2,21.1,1.0,5.6,21.3,1.4,5.5
"청도군",31.1,1.8,8.3,30.6,1.6,8.2,31.5,1.7,7.9
"고령군",27.0,2.4,8.4,26.1,2.6,7.3,26.8,2.3,8.2
"성주군",37.2,1.8,11.7,36.5,1.8,11.2,37.3,2.0,10.6
"칠곡군",65.0,6.5,27.5,68.6,6.2,30.2,68.1,6.1,28.8
"예천군",33.4,2.1,10.2,33.4,1.9,9.9,34.2,2.1,10.1
"봉화군",21.4,0.9,4.6,20.7,0.7,4.1,21.2,0.8,4.2
"울진군",26.0,2.0,8.7,25.9,1.9,8.4,25.6,2.3,8.5
"울릉군",5.7,0.3,1.6,5.7,0.3,1.6,5.9,0.4,1.6
"진주시",154.5,16.4,65.1,157.6,18.7,64.5,156.7,18.1,63.6
"통영시",56.2,4.5,22.6,56.9,4.3,22.5,60.3,4.8,24.9
"사천시",64.8,4.5,25.6,66.0,4.8,26.7,68.3,4.0,26.7
"김해시",270.7,33.4,126.1,268.7,29.6,122.8,274.8,30.1,124.0
"밀양시",57.3,3.9,16.8,59.6,5.6,17.3,59.3,5.8,16.7
