"경상남도 거제시",16.6,16594,99797
"경상남도 양산시",8.8,11657,132927
"경상남도 창원시",9.3,34030,366057
"경상남도 의창구",6.0,4985,83059
"경상남도 성산구",7.5,5441,72481
"경상남도 마산합포구",14.3,9876,69200
"경상남도 마산회원구",6.2,4103,66670
"경상남도 진해구",12.9,9625,74647
"경상남도 의령군",17.5,2366,13482
"경상남도 함안군",12.3,3432,28005
"경상남도 창녕군",14.5,4054,28031
"경상남도 고성군",17.1,4090,23984
"경상남도 남해군",21.5,4929,22950
"경상남도 하동군",13.5,2748,20413
"경상남도 산청군",17.3,2938,16934
"경상남도 함양군",17.0,3217,18891
"경상남도 거창군",14.8,3999,27014
"경상남도 합천군",20.5,4794,23435
