sigungu,hospital_total,hs_1,hs_2,hs_3,hs_h,sido,pop,hp_bin_t,hp_bin_1,hp_bin_2,hp_bin_3,hp_bin_h,sig_cd
전라북도 진안군,7.441445128643982,7.441445128643982,0.0,0.0,0.0,전라북도,26876.5,0~14,4.6~9,0~5,0~0.5,0~9,45720
충청남도 공주시,32.72251308900524,3.272251308900524,3.272251308900524,0.0,26.178010471204193,충청남도,30560.0,28.2~42,0~4,0~5,0~0.5,18.2~27,44150
충청남도 금산군,3.8751428958942857,0.9687857239735714,0.0,0.0,2.9063571719207144,충청남도,103222.0,0~14,0~4,0~5,0~0.5,0~9,44710
충청남도 논산시,21.13288520779316,3.251213108891255,1.6256065544456275,0.0,16.256065544456277,충청남도,61515.5,14.1~28,0~4,0~5,0~0.5,9.1~18,44230
충청남도 보령시,6.492621136078846,2.5970484544315386,1.2985242272157693,0.0,2.5970484544315386,충청남도,77010.5,0~14,0~4,0~5,0~0.5,0~9,44180
충청남도 부여군,4.050879040751844,1.012719760187961,0.0,0.0,3.0381592805638826,충청남도,98744.0,0~14,0~4,0~5,0~0.5,0~9,44760
충청남도 서천군,4.354698937888929,0.8709397875777858,0.0,0.0,3.483759150311143,충청남도,114818.5,0~14,0~4,0~5,0~0.5,0~9,44770
충청남도 예산군,5.923878165572395,3.9492521103815963,1.9746260551907981,0.0,0.0,충청남도,50642.5,0~14,0~4,0~5,0~0.5,0~9,44810
충청남도 청양군,3.118349145962128,0.0,0.0,0.0,3.118349145962128,충청남도,64136.5,0~14,0~4,0~5,0~0.5,0~9,44790
충청남도 태안군,3.9264574519254363,1.9632287259627181,0.0,0.0,1.9632287259627181,충청남도,50936.5,0~14,0~4,0~5,0~0.5,0~9,44825
충청북도 괴산군,1.5200513777365674,1.5200513777365674,0.0,0.0,0.0,충청북도,131574.5,0~14,0~4,0~5,0~0.5,0~9,43760
충청북도 단양군,3.1318999671150505,0.0,0.0,0.0,3.1318999671150505,충청북도,31929.5,0~14,0~4,0~5,0~0.5,0~9,43800
충청북도 보은군,7.993924617290859,1.9984811543227148,0.0,0.0,5.995443462968145,충청북도,50038.0,0~14,0~4,0~5,0~0.5,0~9,43720
충청북도 영동군,8.62384925511502,2.155962313778755,0.0,0.0,6.467886941336265,충청북도,46383.0,0~14,0~4,0~5,0~0.5,0~9,43740
충청북도 옥천군,10.378692544206743,0.0,2.5946731360516857,0.0,7.784019408155058,충청북도,38540.5,0~14,0~4,0~5,0~0.5,0~9,43730
충청북도 제천시,31.529716758044454,3.50330186200494,7.00660372400988,0.0,21.019811172029637,충청북도,28544.5,28.2~42,0~4,5.6~11,0~0.5,18.2~27,43150
