"행정구역별(1)",행정구역별(2),2016,2017,2018,2019,2020
"행정구역별(1)",행정구역별(2),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후)
"광주광역시",동구,13.4,14.0,13.6,11.7,13.8
"광주광역시",서구,20.7,21.9,20.4,20.1,19.0
"광주광역시",남구,12.6,12.8,12.3,11.9,11.4
"광주광역시",북구,13.6,14.1,13.7,13.8,13.9
"광주광역시",광산구,20.0,20.3,19.6,20.0,20.5
"대전광역시",소계,50.3,50.9,47.1,43.9,41.4
"대전광역시",동구,12.5,12.2,11.5,10.8,11.0
"대전광역시",중구,15.3,14.9,13.6,12.4,13.0
"대전광역시",서구,20.1,20.0,18.8,17.6,17.6
"대전광역시",유성구,31.0,30.9,29.3,27.6,27.2
"대전광역시",대덕구,17.7,16.8,16.1,15.0,14.8
"울산광역시",소계,62.3,60.2,59.9,53.7,51.6
"울산광역시",중구,15.9,16.9,18.0,15.6,16.6
"울산광역시",남구,33.3,32.4,31.2,31.9,28.4
"울산광역시",동구,25.5,23.1,20.7,18.6,18.6
"울산광역시",북구,28.9,31.4,28.9,28.8,26.7
"울산광역시",울주군,34.6,34.4,39.9,38.7,37.7
"경기도",소계,61.6,61.3,61.9,60.5,58.6
"경기도",수원시,51.4,51.9,49.3,48.1,45.9
"경기도",성남시,56.8,58.7,59.2,58.1,60.5
"경기도",의정부시,30.0,30.6,28.3,26.6,25.0
"경기도",안양시,43.8,45.2,40.7,39.4,37.8
"경기도",부천시,38.1,38.6,37.1,34.4,30.9
"경기도",광명시,38.3,40.0,35.7,35.0,34.0
"경기도",평택시,41.0,42.1,45.6,45.9,41.5
"경기도",동두천시,14.7,13.5,14.2,12.7,14.4
"경기도",안산시,42.9,44.6,39.5,40.2,37.8
"경기도",고양시,45.4,46.1,42.1,38.7,33.8
"경기도",과천시,40.4,43.4,39.5,43.1,40.8
"경기도",구리시,32.1,34.8,34.5,31.4,31.1
"경기도",남양주시,35.6,35.4,32.0,32.8,30.1
"경기도",오산시,33.0,37.7,33.1,29.6,30.4
"경기도",시흥시,49.5,54.6,43.7,43.4,43.1
"경기도",군포시,38.8,37.5,36.3,34.1,32.0
"경기도",의왕시,39.6,41.5,40.5,37.3,36.2
"경기도",하남시,45.5,45.6,44.1,43.5,45.7
"경기도",용인시,54.8,58.1,55.5,53.0,50.2
"경기도",파주시,39.4,38.3,34.9,31.5,33.5
"경기도",이천시,47.5,43.8,51.4,55.6,43.9
"경기도",안성시,34.4,34.2,32.0,32.5,27.6
"경기도",김포시,44.9,44.8,40.4,37.7,35.4
"경기도",화성시,61.5,64.3,60.1,68.9,66.3
"경기도",광주시,49.4,51.6,43.6,41.0,39.9
"경기도",양주시,33.8,33.2,33.0,28.7,26.8
"경기도",포천시,26.3,31.8,27.3,26.8,22.1
"경기도",여주시,30.8,31.1,28.9,23.7,23.9
"경기도",연천군,20.4,20.1,17.9,16.4,18.3
"경기도",가평군,19.0,18.8,19.7,18.3,18.0
"경기도",양평군,20.5,22.4,20.0,17.7,18.3
"강원도",소계,22.4,24.1,23.5,23.5,25.8
"강원도",춘천시,24.2,25.4,23.7,22.3,21.3
"강원도",원주시,23.3,24.9,23.2,23.4,19.8
"강원도",강릉시,17.1,18.7,18.2,17.4,17.8
"강원도",동해시,19.5,20.2,19.6,18.6,16.7
"강원도",태백시,22.3,21.6,21.7,17.5,18.5
"강원도",속초시,18.1,17.9,18.4,18.0,17.3
"강원도",삼척시,15.8,15.3,15.1,14.0,13.5
"강원도",홍천군,14.2,13.6,13.2,12.6,12.1
"강원도",횡성군,11.0,11.0,10.0,9.4,11.4
"강원도",영월군,16.2,15.5,14.6,15.1,15.2
"강원도",평창군,11.6,11.8,12.6,12.1,11.5
"강원도",정선군,25.8,25.5,23.7,22.3,21.5
"강원도",철원군,8.6,8.8,8.1,8.3,8.5
"강원도",화천군,8.0,8.2,7.5,7.4,8.8
"강원도",양구군,7.8,7.5,7.1,6.8,8.1
"강원도",인제군,7.8,9.1,7.8,7.4,9.0
"강원도",고성군,9.2,9.1,8.9,9.4,8.6
"강원도",양양군,9.8,12.8,12.3,11.7,14.1
"충청북도",소계,28.8,30.0,29.6,28.7,30.1
"충청북도",충주시,18.6,19.4,18.2,18.2,18.2
"충청북도",제천시,15.4,16.8,15.8,15.0,15.3
"충청북도",청주시,30.0,33.2,33.4,31.9,29.5
"충청북도",보은군,7.9,7.8,8.1,7.7,9.5
"충청북도",옥천군,9.9,10.4,10.0,9.8,11.4
"충청북도",영동군,9.4,7.5,6.8,6.7,8.1
"충청북도",진천군,26.9,26.9,26.9,25.0,27.0
"충청북도",괴산군,7.7,8.0,8.1,7.3,8.6
"충청북도",음성군,21.9,23.3,23.8,23.0,25.2
"충청북도",단양군,10.7,10.5,9.5,10.1,11.6
"충청북도",증평군,14.8,15.1,13.3,13.5,15.6
"충청남도",소계,33.5,34.3,34.5,33.0,34.4
"충청남도",천안시,41.1,43.0,40.1,38.0,37.0
"충청남도",공주시,14.8,14.2,15.4,13.9,12.5
"충청남도",보령시,13.8,15.7,15.2,14.7,13.6
"충청남도",아산시,42.1,42.6,43.1,35.8,37.7
"충청남도",서산시,22.4,28.4,30.3,28.2,24.7
"충청남도",논산시,11.5,11.9,11.2,11.0,11.4
"충청남도",계룡시,15.3,18.1,16.7,14.8,18.1
"충청남도",당진시,28.5,31.3,28.9,28.3,25.9
"충청남도",금산군,13.9,14.4,13.8,12.9,12.6
"충청남도",부여군,8.9,8.8,9.5,9.2,9.1
"충청남도",서천군,9.0,9.1,9.2,9.0,10.1
"충청남도",청양군,10.1,9.5,11.5,9.2,10.2
"충청남도",홍성군,13.2,14.1,14.1,13.5,14.8
"충청남도",예산군,12.3,12.9,12.1,11.6,12.7
"충청남도",태안군,15.1,15.6,13.9,13.9,13.0
"전라북도",소계,23.6,22.3,21.5,20.4,24.9
"전라북도",전주시,30.4,29.8,29.2,28.9,26.9
"전라북도",군산시,24.5,22.8,23.6,20.2,18.7
"전라북도",익산시,17.2,17.8,16.7,16.7,16.8
"전라북도",정읍시,10.1,9.4,9.2,8.5,9.5
